PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Embarked,Title
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,S, Mr.
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,C, Mrs.
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,S, Miss.
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,S, Mrs.
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,S, Mr.
6,0,3,"Moran, Mr. James",male,32.74014778325123,0,0,Q, Mr.
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,S, Mr.
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,S, Master.
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,S, Mrs.
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,C, Mrs.
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,S, Miss.
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,S, Miss.
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,S, Mr.
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,S, Mr.
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,S, Miss.
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,S, Mrs.
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,Q, Master.
18,1,2,"Williams, Mr. Charles Eugene",male,32.74014778325123,0,0,S, Mr.
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,S, Mrs.
20,1,3,"Masselmani, Mrs. Fatima",female,35.898148148148145,0,0,C, Mrs.
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,S, Mr.
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,S, Mr.
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,Q, Miss.
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,S, Mr.
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,S, Miss.
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,S, Mrs.
27,0,3,"Emir, Mr. Farred Chehab",male,32.74014778325123,0,0,C, Mr.
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,S, Mr.
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,22.066225165562916,0,0,Q, Miss.
30,0,3,"Todoroff, Mr. Lalio",male,32.74014778325123,0,0,S, Mr.
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,C, Mr.
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,35.898148148148145,1,0,C, Mrs.
33,1,3,"Glynn, Miss. Mary Agatha",female,22.066225165562916,0,0,Q, Miss.
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,S, Mr.
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,C, Mr.
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,S, Mr.
37,1,3,"Mamee, Mr. Hanna",male,32.74014778325123,0,0,C, Mr.
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,S, Mr.
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,S, Miss.
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,C, Miss.
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,S, Mrs.
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,S, Mrs.
43,0,3,"Kraeff, Mr. Theodor",male,32.74014778325123,0,0,C, Mr.
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,C, Miss.
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,Q, Miss.
46,0,3,"Rogers, Mr. William John",male,32.74014778325123,0,0,S, Mr.
47,0,3,"Lennon, Mr. Denis",male,32.74014778325123,1,0,Q, Mr.
48,1,3,"O'Driscoll, Miss. Bridget",female,22.066225165562916,0,0,Q, Miss.
49,0,3,"Samaan, Mr. Youssef",male,32.74014778325123,2,0,C, Mr.
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,S, Mrs.
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,S, Master.
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,S, Mr.
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,C, Mrs.
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,S, Mrs.
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,C, Mr.
56,1,1,"Woolner, Mr. Hugh",male,32.74014778325123,0,0,S, Mr.
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,S, Miss.
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,C, Mr.
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,S, Miss.
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,S, Master.
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,C, Mr.
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,S, Miss.
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,S, Mr.
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,S, Master.
65,0,1,"Stewart, Mr. Albert A",male,32.74014778325123,0,0,C, Mr.
66,1,3,"Moubarek, Master. Gerios",male,4.574166666666667,1,1,C, Master.
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,S, Mrs.
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S, Mr.
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,S, Miss.
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,S, Mr.
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,S, Mr.
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,S, Miss.
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S, Mr.
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,C, Mr.
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,S, Mr.
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,S, Mr.
77,0,3,"Staneff, Mr. Ivan",male,32.74014778325123,0,0,S, Mr.
78,0,3,"Moutal, Mr. Rahamin Haim",male,32.74014778325123,0,0,S, Mr.
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,S, Master.
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,S, Miss.
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,S, Mr.
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,S, Mr.
83,1,3,"McDermott, Miss. Brigdet Delia",female,22.066225165562916,0,0,Q, Miss.
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,S, Mr.
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,S, Miss.
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,S, Mrs.
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,S, Mr.
88,0,3,"Slocovski, Mr. Selman Francis",male,32.74014778325123,0,0,S, Mr.
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,S, Miss.
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,S, Mr.
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,S, Mr.
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,S, Mr.
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,S, Mr.
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,S, Mr.
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,S, Mr.
96,0,3,"Shorney, Mr. Charles Joseph",male,32.74014778325123,0,0,S, Mr.
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,C, Mr.
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,C, Mr.
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,S, Mrs.
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,S, Mr.
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,S, Miss.
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,32.74014778325123,0,0,S, Mr.
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,S, Mr.
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,S, Mr.
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,S, Mr.
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,S, Mr.
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,S, Miss.
108,1,3,"Moss, Mr. Albert Johan",male,32.74014778325123,0,0,S, Mr.
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,S, Mr.
110,1,3,"Moran, Miss. Bertha",female,22.066225165562916,1,0,Q, Miss.
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,S, Mr.
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,C, Miss.
113,0,3,"Barton, Mr. David John",male,22.0,0,0,S, Mr.
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,S, Miss.
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,C, Miss.
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,S, Mr.
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,Q, Mr.
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,S, Mr.
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,C, Mr.
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,S, Miss.
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S, Mr.
122,0,3,"Moore, Mr. Leonard Charles",male,32.74014778325123,0,0,S, Mr.
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,C, Mr.
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,S, Miss.
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,S, Mr.
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,C, Master.
127,0,3,"McMahon, Mr. Martin",male,32.74014778325123,0,0,Q, Mr.
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,S, Mr.
129,1,3,"Peter, Miss. Anna",female,22.066225165562916,1,1,C, Miss.
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,S, Mr.
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,C, Mr.
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,S, Mr.
